,documentid,recordtype_x,borough_x,block,lot,easement,partiallot,airrights,subterraneanrights,propertytype,streetnumber,streetname,unit,goodthroughdate_x,recordtype_y,crfn,borough_y,doctype,docdate,docamount,recorded/filed,modifieddate,reelyear,reelnbr,reelpage,%transferred,goodthroughdate_y
136,2007042600021001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,11C,07/31/2015,A,2.00700022855e+12,2,RPTT&RET,04/26/2007,270000,05/02/2007,05/02/2007,0,0,0,100,07/31/2015
137,2007060501311001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,2D,07/31/2015,A,2.00700031366e+12,4,RPTT&RET,05/30/2007,342500,06/18/2007,06/18/2007,0,0,0,100,07/31/2015
138,FT_4420002601542,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,AGMT,,0,10/04/1989,10/04/1989,1989,2882,1443,0,07/31/2015
139,2012090500092001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,5C,07/31/2015,A,2.01200036936e+12,1,RPTT&RET,09/05/2012,273000,09/18/2012,09/18/2012,0,0,0,100,07/31/2015
140,2012053100829001,L,4,528,50,N,E,N,N,SP,33-68,21ST ST,10A,07/31/2015,A,2.01200025316e+12,1,RPTT&RET,05/31/2012,345000,06/26/2012,06/26/2012,0,0,0,100,07/31/2015
141,2005042000858001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,12B,07/31/2015,A,2.00500027982e+12,1,RPTT&RET,04/21/2005,200000,05/13/2005,05/13/2005,0,0,0,100,07/31/2015
142,2005031602327001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,14B,07/31/2015,A,2.00500020025e+12,1,RPTT&RET,03/17/2005,238000,04/07/2005,04/07/2005,0,0,0,100,07/31/2015
143,2005072600710001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,15B,07/31/2015,A,2.00500047457e+12,1,RPTT&RET,07/26/2005,210000,08/23/2005,08/23/2005,0,0,0,100,07/31/2015
144,2013020800101001,L,4,528,50,N,E,N,N,SP,33-43,14TH   STREET,11C,07/31/2015,A,2.01300013202e+12,1,RPTT&RET,02/06/2013,310000,04/02/2013,04/02/2013,0,0,0,100,07/31/2015
145,2007091801100001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,7C,07/31/2015,A,2.00700049438e+12,4,RPTT&RET,09/06/2007,319000,09/27/2007,09/27/2007,0,0,0,100,07/31/2015
146,2009081801415001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,8A,07/31/2015,A,2.00900026965e+12,4,RPTT&RET,08/14/2009,336000,08/24/2009,08/24/2009,0,0,0,100,07/31/2015
147,2012071900003001,L,4,528,50,N,E,N,N,SP,3364,21ST STREET,14B,07/31/2015,A,2.01200030986e+12,1,RPTT&RET,07/19/2012,305000,08/07/2012,08/07/2012,0,0,0,100,07/31/2015
148,2009082700330001,L,4,528,50,N,E,N,N,SP,3343,14TH ST,12B,07/31/2015,A,2.0090002869e+12,1,RPTT&RET,08/28/2009,310000,09/04/2009,09/04/2009,0,0,0,100,07/31/2015
149,2010020901381001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,9A,07/31/2015,A,2.01000006107e+12,1,RPTT&RET,02/05/2010,275000,02/22/2010,02/22/2010,0,0,0,100,07/31/2015
150,2013033000045001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,10B,07/31/2015,A,2.01300014284e+12,1,RPTT&RET,03/28/2013,275000,04/10/2013,04/10/2013,0,0,0,100,07/31/2015
151,2006080101486001,L,4,528,50,N,E,N,N,SP,33-43,14 ST,6D,07/31/2015,A,2.00600046722e+12,1,RPTT&RET,07/14/2006,240000,08/18/2006,08/18/2006,0,0,0,100,07/31/2015
152,2009083100214001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,7B,07/31/2015,A,2.00900028340e+12,4,RPTT&RET,07/27/2009,330000,09/02/2009,09/02/2009,0,0,0,100,07/31/2015
153,2005091302139001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,15B,07/31/2015,A,2.0050005282e+12,4,RPTT&RET,09/08/2005,325000,09/21/2005,09/21/2005,0,0,0,100,07/31/2015
154,2009101901124001,L,4,528,50,N,E,N,N,SP,3343,14TH ST,15B,07/31/2015,A,2.00900036688e+12,1,RPTT&RET,10/21/2009,345000,11/09/2009,11/09/2009,0,0,0,100,07/31/2015
155,2012012300316001,L,4,528,50,N,E,N,N,SP,3365,14 STREET,14B,07/31/2015,A,2.01200011676e+12,1,RPTT&RET,01/23/2012,275000,03/23/2012,03/23/2012,0,0,0,100,07/31/2015
156,2014032500337001,L,4,528,50,N,E,N,N,AP,33-43,14TH   STREET,,07/31/2015,A,2.01400011583e+12,1,SAT,03/19/2014,0,04/04/2014,04/04/2014,0,0,0,0,07/31/2015
157,FT_4180002384218,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,ASST,,0,10/16/1987,10/16/1987,1987,2474,628,0,07/31/2015
158,2007011601315001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,5B,07/31/2015,A,2.00700010009e+12,4,RPTT&RET,08/10/2005,235000,02/22/2007,02/22/2007,0,0,0,100,07/31/2015
159,2004092301700001,L,4,528,50,N,E,N,N,SP,33-55,14 STREET,4D,07/31/2015,A,2.0040006567e+12,1,RPTT&RET,09/23/2004,175000,10/23/2004,10/23/2004,0,0,0,100,07/31/2015
160,2012120401292001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,7C,07/31/2015,A,2.01200048409e+12,1,RPTT&RET,12/03/2012,295000,12/11/2012,12/11/2012,0,0,0,100,07/31/2015
161,2009061700431001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,5A,07/31/2015,A,2.0090001972e+12,4,RPTT&RET,06/24/2009,309000,06/29/2009,06/29/2009,0,0,0,100,07/31/2015
162,2008050600926001,L,4,528,50,N,E,N,N,SP,33-43,14TH   STREET,3B,07/31/2015,A,2.00800018674e+12,4,RPTT&RET,04/29/2008,280000,05/08/2008,05/08/2008,0,0,0,100,07/31/2015
163,2014011301276001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,3C,07/31/2015,A,2.01400002764e+12,2,RPTT&RET,01/14/2014,308000,01/23/2014,01/23/2014,0,0,0,100,07/31/2015
164,2014060501334001,L,4,528,50,N,E,N,N,SP,33-43,14TH   STREET,6B,07/31/2015,A,2.01400019941e+12,1,RPTT&RET,04/30/2014,345000,06/10/2014,06/10/2014,0,0,0,100,07/31/2015
165,2014032400549001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,12B,07/31/2015,A,2.01400010786e+12,1,RPTT&RET,03/21/2014,0,03/28/2014,03/28/2014,0,0,0,100,07/31/2015
166,2012032700096001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,9C,07/31/2015,A,2.01200020616e+12,1,RPTT&RET,03/28/2012,310000,05/24/2012,05/24/2012,0,0,0,100,07/31/2015
167,2011092000632001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,7A,07/31/2015,A,2.01100034144e+12,4,RPTT&RET,08/29/2011,235000,09/27/2011,09/27/2011,0,0,0,100,07/31/2015
168,2008081400022001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,11D,07/31/2015,A,2.00800033977e+12,1,RPTT&RET,08/14/2008,358000,08/26/2008,08/26/2008,0,0,0,100,07/31/2015
169,2011120600118001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,5B,07/31/2015,A,2.011000439e+12,1,RPTT&RET,12/07/2011,285000,12/16/2011,12/16/2011,0,0,0,100,07/31/2015
170,2014032401304001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,6A,07/31/2015,A,2.01400010998e+12,2,RPTT&RET,03/25/2014,325000,03/31/2014,03/31/2014,0,0,0,100,07/31/2015
171,2011072100514001,L,4,528,50,N,P,N,N,SP,33-60,21ST STREET,10A,07/31/2015,A,2.01100026467e+12,3,RPTT&RET,06/22/2011,367500,07/27/2011,07/27/2011,0,0,0,100,07/31/2015
172,2005082200544001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,4D,07/31/2015,A,2.00500051426e+12,1,RPTT,07/21/2005,209000,09/15/2005,09/15/2005,0,0,0,100,07/31/2015
173,2006101201551001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,5D,07/31/2015,A,2.00600057995e+12,1,RPTT&RET,10/11/2006,279999,10/17/2006,10/17/2006,0,0,0,100,07/31/2015
174,2006121401966001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,14A,07/31/2015,A,2.0070000118e+12,1,RPTT,11/28/2006,335000,01/08/2007,01/08/2007,0,0,0,100,07/31/2015
175,FT_4240004196924,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,ASST,,0,03/22/1994,03/22/1994,1994,3824,161,0,07/31/2015
176,2004111601688001,L,4,528,50,N,E,N,N,SP,3355,14TH STREET,10C,07/31/2015,A,2.00400074164e+12,4,RPTT&RET,11/09/2004,187000,12/01/2004,12/01/2004,0,0,0,100,07/31/2015
177,2005042000805001,L,4,528,50,N,E,N,N,SP,33-60,21 STREET,7C,07/31/2015,A,2.00500028714e+12,1,RPTT&RET,04/08/2005,240000,05/18/2005,05/18/2005,0,0,0,100,07/31/2015
178,2008102000654001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,14C,07/31/2015,A,2.00800041402e+12,1,RPTT&RET,10/08/2008,395000,10/21/2008,10/21/2008,0,0,0,100,07/31/2015
179,2009122100563001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,2A,07/31/2015,A,2.00900042444e+12,1,RPTT&RET,12/22/2009,250000,12/28/2009,12/28/2009,0,0,0,100,07/31/2015
180,2014111000739001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,7B,07/31/2015,A,2.01400041175e+12,1,RPTT&RET,11/03/2014,342500,12/15/2014,12/15/2014,0,0,0,100,07/31/2015
181,2010061600889001,L,4,528,50,N,E,N,N,SP,33-43,14TH   STREET,4A,07/31/2015,A,2.01000020894e+12,1,RPTT&RET,05/24/2010,315000,06/23/2010,06/23/2010,0,0,0,100,07/31/2015
182,2009042100028001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,3B,07/31/2015,A,2.00900012354e+12,1,RPTT&RET,04/09/2009,300000,04/27/2009,04/27/2009,0,0,0,100,07/31/2015
183,2014041600506001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,10B,07/31/2015,A,2.01400013395e+12,1,RPTT&RET,04/02/2014,402000,04/21/2014,04/21/2014,0,0,0,100,07/31/2015
184,2007072500970001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,11C,07/31/2015,A,2.00700038997e+12,1,RPTT&RET,07/19/2007,260000,07/30/2007,07/30/2007,0,0,0,100,07/31/2015
