,documentid,recordtype_x,borough_x,block,lot,easement,partiallot,airrights,subterraneanrights,propertytype,streetnumber,streetname,unit,goodthroughdate_x,recordtype_y,crfn,borough_y,doctype,docdate,docamount,recorded/filed,modifieddate,reelyear,reelnbr,reelpage,%transferred,goodthroughdate_y
42,2005061002076001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,10A,07/31/2015,A,2.00500035607e+12,4,RPTT&RET,06/07/2005,210000,06/21/2005,06/21/2005,0,0,0,100,07/31/2015
43,2009121700217001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,10A,07/31/2015,A,2.00900042071e+12,4,RPTT&RET,12/16/2009,265000,12/23/2009,12/23/2009,0,0,0,100,07/31/2015
44,2009061600359001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,3C,07/31/2015,A,2.00900018719e+12,4,RPTT&RET,06/15/2009,260000,06/19/2009,06/19/2009,0,0,0,100,07/31/2015
45,2014081101228001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,2D,07/31/2015,A,2.01400027994e+12,2,RPTT&RET,08/12/2014,335000,08/21/2014,08/21/2014,0,0,0,100,07/31/2015
46,2013060701399001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,15C,07/31/2015,A,2.01300024357e+12,2,RPTT&RET,06/12/2013,320000,06/20/2013,06/20/2013,0,0,0,100,07/31/2015
47,2008062400760001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,5A,07/31/2015,A,2.00800027508e+12,1,RPTT&RET,06/23/2008,25000,07/11/2008,07/11/2008,0,0,0,100,07/31/2015
48,2004022300182001,L,4,528,50,N,E,N,N,SP,33-68,21 STREET,4C,07/31/2015,A,2.00400024455e+12,4,PAT,11/06/2003,0,04/21/2004,04/21/2004,0,0,0,0,07/31/2015
49,2012101101411001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,8A,07/31/2015,A,2.01200042603e+12,1,RPTT&RET,10/12/2012,265000,10/26/2012,10/26/2012,0,0,0,100,07/31/2015
50,2010072101080001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,11D,07/31/2015,A,2.01000025749e+12,1,RPTT&RET,07/26/2010,325000,08/02/2010,08/02/2010,0,0,0,100,07/31/2015
51,FT_4660002623966,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,SAT,,0,12/20/1989,12/20/1989,1989,2924,430,0,07/31/2015
